age,going
33,Yes
43,No
35,No
10,Yes
54,No
57,No
52,No
52,No
65,No
28,No
36,No
30,No
22,No
32,No
51,No
67,No
50,No
52,No
42,No
44,No
45,No
31,No
45,No
44,No
NA,No
37,No
NA,No
24,No
NA,No
51,No
38,No
40,No
NA,No
39,No
25,No
35,No
38,No
40,Yes
NA,No
26,No
NA,No
30,No
26,No
45,Yes
34,No
43,No
62,No
45,No
NA,No
41,Yes
49,No
NA,Yes
39,No
32,No
32,No
60,No
45,No
50,No
67,No
44,No
37,No
43,No
56,No
49,No
43,No
56,No
48,No
44,No
46,No
55,No
51,No
18,No
45,No
52,No
29,No
NA,No
42,Yes
43,No
25,No
33,No
52,No
16,No
42,Yes
32,No
40,Yes
47,No
44,No
52,No
50,No
62,No
58,Yes
32,No
58,No
66,No
58,No
43,No
44,No
42,No
47,No
20,No
44,No
29,No
43,No
43,Yes
56,No
42,No
21,No
20,No
43,No
43,No
58,No
37,No
30,No
54,No
21,No
NA,No
50,No
34,No
36,No
38,No
37,No
NA,No
36,No
32,No
44,No
55,No
51,No
NA,No
NA,No
33,No
46,No
NA,No
64,No
45,No
64,No
45,No
37,No
29,No
34,No
40,No
42,No
52,Yes
45,No
47,No
35,No
26,No
42,No
37,No
72,No
38,No
39,No
40,No
28,No
35,Yes
40,No
40,No
40,No
48,No
28,No
42,No
49,No
45,Yes
44,No
20,No
38,No
42,No
42,No
52,No
45,No
44,Yes
45,No
50,No
22,No
23,No
NA,No
39,No
33,Yes
22,No
44,No
45,No
50,No
50,Yes
54,No
200587,Yes
40,No
33,Yes
43,No
47,No
42,No
53,No
30,No
32,No
NA,No
58,No
40,No
28,No
40,No
36,No
45,No
NA,No
50,No
56,No
32,Yes
14,No
38,No
44,No
57,No
60,No
35,No
28,No
58,No
37,No
48,No
51,No
33,No
44,No
30,No
37,No
30,No
42,No
40,No
44,No
45,No
46,No
48,No
43,No
56,No
55,No
46,Yes
51,No
50,No
49,No
43,No
28,No
35,No
48,No
38,No
39,No
45,No
12,Yes
30,No
53,No
52,No
37,No
25,No
52,No
45,No
NA,No
32,No
30,No
44,No
54,No
50,No
38,No
32,No
41,No
50,No
35,No
46,No
46,No
59,No
56,No
65,No
48,No
45,No
9,Yes
33,No
52,No
40,No
36,No
11,No
37,No
13,Yes
52,No
9,Yes
33,No
54,No
32,No
36,No
13,Yes
68,No
33,No
37,No
29,No
48,No
31,No
46,No
71,No
57,No
40,Yes
33,No
26,No
9,Yes
42,No
62,No
30,No
62,No
35,No
NA,No
54,No
36,No
53,No
26,No
50,No
29,No
27,No
31,No
34,No
35,No
38,Yes
33,No
58,No
31,No
41,No
35,No
25,No
49,No
31,No
51,No
61,No
30,No
40,Yes
10,Yes
51,No
36,No
46,No
55,No
47,No
44,No
42,No
67,No
61,No
30,Yes
40,No
67,No
50,No
26,No
40,No
41,No
44,No
30,No
36,No
66,No
50,No
44,No
27,No
48,No
46,No
44,No
38,No
36,No
35,No
32,No
27,No
37,No
55,No
37,Yes
55,No
55,No
37,Yes
30,No
32,No
26,No
48,No
53,No
28,No
30,No
29,No
40,No
38,No
57,No
NA,No
48,No
55,Yes
33,No
57,No
59,No
32,No
40,Yes
23,No
25,No
NA,No
41,No
56,No
46,No
40,No
66,No
56,No
40,No
51,Yes
99,No
45,Yes
51,No
30,No
45,No
40,Yes
43,No
39,Yes
27,No
26,No
34,No
28,No
37,No
26,No
40,No
33,No
45,No
55,No
31,No
40,No
31,No
39,No
39,No
49,Yes
42,No
59,No
31,No
30,No
39,No
30,No
34,No
52,No
41,No
44,No
42,No
47,No
21,No
32,No
40,No
38,No
42,No
39,No
43,Yes
50,No
22,No
22,No
38,No
51,No
53,No
43,No
31,No
32,No
16,No
48,No
70,No
46,Yes
45,No
60,No
10,Yes
28,No
49,No
9,Yes
34,No
46,No
11,Yes
65,No
43,No
39,No
38,No
40,No
47,No
45,No
35,No
44,No
46,No
NA,No
58,No
57,No
38,Yes
NA,Yes
30,No
32,No
45,No
42,No
48,No
57,No
39,No
